trade_no,buy_date,buy_price,target,sell_date,sell_price,profit,profit_pct,balance
1,2026-06-19 16:43:33.495909,235859.0,236859.0,2026-06-19 17:09:51.783931,237154,1295.0,0.55,9973262.93
2,2026-06-19 17:13:02.787647,236150.0,237150.0,2026-06-19 17:16:23.855312,237657,1507.0,0.64,9972400.89
3,2026-06-19 17:45:23.117750,236622.0,237622.0,2026-06-19 18:21:46.143527,237652,1030.0,0.44,9971059.52
4,2026-06-19 15:36:00.906981,236872.0,237872.0,2026-06-19 18:23:26.956591,237884,1012.0,0.43,9970882.1
5,2026-06-19 20:15:25.167740,235818.0,236818.0,2026-06-19 20:32:10.402785,236846,1028.0,0.44,9968362.68
6,2026-06-19 19:38:13.497461,236820.0,237820.0,2026-06-19 22:06:30.007102,237846,1026.0,0.43,9968199.45
7,2026-06-19 23:05:41.305766,236846.0,237846.0,2026-06-19 23:18:15.899024,237900,1054.0,0.45,9966879.72
8,2026-06-19 23:01:00,236957.0,237957.0,2026-06-22 09:00:00,238870,1913.0,0.8073,9892339.96
9,2026-06-19 15:30:00,237997.0,238997.0,2026-06-22 09:01:00,239061,1064.0,0.4471,9892208.655
10,2026-06-19 09:00:00,237951.0,239951.0,2026-06-22 10:59:00,240100,2149.0,0.9031,9893157.155
11,2026-06-19 09:00:00,237951.0,240951.0,2026-06-22 11:05:55.221148,240975,3024.0,1.27,9977336.48
12,2026-06-19 09:00:00,237951.0,241951.0,2026-06-22 11:45:55.918853,241980,4029.0,1.69,9978336.45
13,2026-06-22 13:24:34.508504,240903.0,241903.0,2026-06-22 15:03:55.410462,242033,1130.0,0.47,9977051.77
